date,vehicle_type,manufacturer,registrations
2020-01-01,2W,Hero,5378
2020-01-01,2W,Honda,7093
2020-01-01,2W,TVS,7383
2020-01-01,2W,Bajaj,5771
2020-01-01,2W,Royal Enfield,5360
2020-01-01,2W,Yamaha,8186
2020-01-01,2W,Suzuki,5055
2020-01-01,2W,Ola Electric,6058
2020-01-01,2W,Ather,9044
2020-01-01,3W,Bajaj,570
2020-01-01,3W,Piaggio,449
2020-01-01,3W,Mahindra,835
2020-01-01,3W,TVS,803
2020-01-01,3W,Atul,648
2020-01-01,3W,Kinetic,748
2020-01-01,4W,Maruti Suzuki,972
2020-01-01,4W,Hyundai,701
2020-01-01,4W,Tata Motors,1210
2020-01-01,4W,Mahindra,1289
2020-01-01,4W,Kia,798
2020-01-01,4W,Toyota,881
2020-01-01,4W,Honda,560
2020-01-01,4W,MG,1180
2020-01-01,4W,Skoda,1637
2020-01-01,4W,Volkswagen,995
2020-01-02,2W,Hero,4681
2020-01-02,2W,Honda,3843
2020-01-02,2W,TVS,5879
2020-01-02,2W,Bajaj,5511
2020-01-02,2W,Royal Enfield,4741
2020-01-02,2W,Yamaha,5329
2020-01-02,2W,Suzuki,7209
2020-01-02,2W,Ola Electric,7869
2020-01-02,2W,Ather,2639
2020-01-02,3W,Bajaj,587
2020-01-02,3W,Piaggio,274
2020-01-02,3W,Mahindra,561
2020-01-02,3W,TVS,329
2020-01-02,3W,Atul,352
2020-01-02,3W,Kinetic,348
2020-01-02,4W,Maruti Suzuki,1621
2020-01-02,4W,Hyundai,1085
2020-01-02,4W,Tata Motors,1230
2020-01-02,4W,Mahindra,1469
2020-01-02,4W,Kia,1204
2020-01-02,4W,Toyota,1685
2020-01-02,4W,Honda,1187
2020-01-02,4W,MG,1404
2020-01-02,4W,Skoda,1436
2020-01-02,4W,Volkswagen,987
2020-01-03,2W,Hero,3755
2020-01-03,2W,Honda,6608
2020-01-03,2W,TVS,3022
2020-01-03,2W,Bajaj,3305
2020-01-03,2W,Royal Enfield,2917
2020-01-03,2W,Yamaha,3053
2020-01-03,2W,Suzuki,7234
2020-01-03,2W,Ola Electric,5098
2020-01-03,2W,Ather,5842
2020-01-03,3W,Bajaj,324
2020-01-03,3W,Piaggio,914
2020-01-03,3W,Mahindra,618
2020-01-03,3W,TVS,329
2020-01-03,3W,Atul,728
2020-01-03,3W,Kinetic,614
2020-01-03,4W,Maruti Suzuki,733
2020-01-03,4W,Hyundai,666
2020-01-03,4W,Tata Motors,628
2020-01-03,4W,Mahindra,728
2020-01-03,4W,Kia,1073
2020-01-03,4W,Toyota,804
2020-01-03,4W,Honda,483
2020-01-03,4W,MG,1325
2020-01-03,4W,Skoda,970
2020-01-03,4W,Volkswagen,969
2020-01-04,2W,Hero,1629
2020-01-04,2W,Honda,2111
2020-01-04,2W,TVS,1331
2020-01-04,2W,Bajaj,3345
2020-01-04,2W,Royal Enfield,2138
2020-01-04,2W,Yamaha,2299
2020-01-04,2W,Suzuki,2890
2020-01-04,2W,Ola Electric,4322
2020-01-04,2W,Ather,3740
2020-01-04,3W,Bajaj,283
2020-01-04,3W,Piaggio,191
2020-01-04,3W,Mahindra,364
2020-01-04,3W,TVS,451
2020-01-04,3W,Atul,471
2020-01-04,3W,Kinetic,378
2020-01-04,4W,Maruti Suzuki,378
2020-01-04,4W,Hyundai,718
2020-01-04,4W,Tata Motors,466
2020-01-04,4W,Mahindra,476
2020-01-04,4W,Kia,907
2020-01-04,4W,Toyota,475
2020-01-04,4W,Honda,638
2020-01-04,4W,MG,486
2020-01-04,4W,Skoda,736
2020-01-04,4W,Volkswagen,351
2020-01-05,2W,Hero,2235
2020-01-05,2W,Honda,4695
2020-01-05,2W,TVS,2651
2020-01-05,2W,Bajaj,4172
2020-01-05,2W,Royal Enfield,3716
2020-01-05,2W,Yamaha,1509
2020-01-05,2W,Suzuki,2693
2020-01-05,2W,Ola Electric,2342
2020-01-05,2W,Ather,4581
2020-01-05,3W,Bajaj,217
2020-01-05,3W,Piaggio,150
2020-01-05,3W,Mahindra,347
2020-01-05,3W,TVS,274
2020-01-05,3W,Atul,278
2020-01-05,3W,Kinetic,364
2020-01-05,4W,Maruti Suzuki,446
2020-01-05,4W,Hyundai,736
2020-01-05,4W,Tata Motors,523
2020-01-05,4W,Mahindra,659
2020-01-05,4W,Kia,726
2020-01-05,4W,Toyota,364
2020-01-05,4W,Honda,758
2020-01-05,4W,MG,549
2020-01-05,4W,Skoda,338
2020-01-05,4W,Volkswagen,431
2020-01-06,2W,Hero,5711
2020-01-06,2W,Honda,6373
2020-01-06,2W,TVS,4617
2020-01-06,2W,Bajaj,4855
2020-01-06,2W,Royal Enfield,3553
2020-01-06,2W,Yamaha,5576
2020-01-06,2W,Suzuki,4323
2020-01-06,2W,Ola Electric,3428
2020-01-06,2W,Ather,8268
2020-01-06,3W,Bajaj,375
2020-01-06,3W,Piaggio,567
2020-01-06,3W,Mahindra,304
2020-01-06,3W,TVS,518
2020-01-06,3W,Atul,430
2020-01-06,3W,Kinetic,658
2020-01-06,4W,Maruti Suzuki,678
2020-01-06,4W,Hyundai,836
2020-01-06,4W,Tata Motors,1247
2020-01-06,4W,Mahindra,1554
2020-01-06,4W,Kia,873
2020-01-06,4W,Toyota,713
2020-01-06,4W,Honda,2474
2020-01-06,4W,MG,843
2020-01-06,4W,Skoda,830
2020-01-06,4W,Volkswagen,506
2020-01-07,2W,Hero,4803
2020-01-07,2W,Honda,2770
2020-01-07,2W,TVS,4162
